"Id","Url","ImageUrl","Name","Symbol","CoinName","FullName","Algorithm","ProofType","FullyPremined","TotalCoinSupply","PreMinedValue","TotalCoinsFreeFloat","SortOrder","Sponsored","IsTrading"
"28323","/coins/vrm/overview","/media/351522/vrm.png","VRM","VRM","Verium","Verium (VRM)","N/A","PoWT","0","N/A","N/A","N/A","757",false,true
"28326","/coins/root/overview","/media/351523/root.png","ROOT","ROOT","RootCoin","RootCoin (ROOT)","Scrypt","PoW/PoS","0","1900000","N/A","N/A","758",false,true
"28328","/coins/1st/overview","/media/351524/1st.png","1ST","1ST","FirstBlood","FirstBlood (1ST)","N/A","N/A","1","93468691","N/A","N/A","759",false,true
"28330","/coins/gpl/overview","/media/351525/gpl.png","GPL","GPL","Gold Pressed Latinum","Gold Pressed Latinum (GPL)","N/A","PoW/PoS","0","1000000","N/A","N/A","760",false,true
"28332","/coins/dope/overview","/media/351526/dope.png","DOPE","DOPE","DopeCoin","DopeCoin (DOPE)","Scrypt","PoW","0","575000000","N/A","N/A","761",false,true
"28333","/coins/b3/overview","/media/12318367/b3.png","B3","B3","B3 Coin","B3 Coin (B3)","X11","PoW/PoS","0","N/A","N/A","N/A","762",false,true
"28336","/coins/fx/overview","/media/351527/fx.png","FX","FX","FCoin","FCoin (FX)","Scrypt","PoW/PoS","0","987600000","N/A","N/A","763",false,true
"28342","/coins/pio/overview","/media/351528/pio.png","PIO","PIO","Pioneershares","Pioneershares (PIO)","X11","PoW/PoS","0","200000","N/A","N/A","764",false,true
"28431","/coins/gay/overview","/media/351531/gay.png","GAY","GAY","GayCoin","GayCoin (GAY)","X11","PoW/PoS","0","10000000000","N/A","N/A","765",false,true
"28650","/coins/smsr/overview","/media/351543/smsr.png","SMSR","SMSR","Samsara Coin","Samsara Coin (SMSR)","QuBit","PoW/PoS","0","60000000","N/A","N/A","766",false,true
"28652","/coins/ubiq/overview","/media/351544/ubiq.png","UBIQ","UBIQ","Ubiqoin","Ubiqoin (UBIQ)","Progressive-n","PoS","0","500000000","N/A","N/A","767",false,true
"28654","/coins/arm/overview","/media/351545/arm.png","ARM","ARM","Armory Coin","Armory Coin (ARM)","Scrypt","PoW/PoS","0","1990000000","N/A","N/A","768",false,true
"28657","/coins/ring/overview","/media/351546/ring.png","RING","RING","RingCoin","RingCoin (RING)","Scrypt","PoW/PoS","0","1900000000","N/A","N/A","769",false,true
"28665","/coins/erb/overview","/media/351550/erb.png","ERB","ERB","ERBCoin","ERBCoin (ERB)","Scrypt","N/A","0","125000000","N/A","N/A","770",false,false
